Step FractureName TipNr TipX TipY TipZ KI KII KIII G Phi Psi
0 FRACTURE_3_S 7 -1.09098 -0.00834732 -0.5 2.73093e+009 -7.70802e+007 -3.47843e+008 3.64996e+008 3.37767 8.19637
0 FRACTURE_3_S 8 -0.909018 -0.00834732 -0.5 2.44528e+009 -2.33231e+008 -4.80451e+008 3.11688e+008 9.95485 11.0998
0 FRACTURE_3_S 9 -0.724971 -0.0434532 -0.5 2.01879e+009 -4.29248e+008 -4.56597e+008 2.25737e+008 19.1605 11.4458
0 FRACTURE_3_S 10 -0.542348 -0.116608 -0.5 1.7277e+009 -5.68486e+008 -2.95307e+008 1.65969e+008 27.3428 8.45979
0 FRACTURE_3_S 11 -0.372842 -0.227949 -0.5 1.58171e+009 -6.33597e+008 -9.55778e+007 1.37231e+008 33.123 3.16962
0 FRACTURE_3_S 12 -0.227949 -0.372842 -0.5 1.57869e+009 -6.33608e+008 9.71802e+007 1.36824e+008 33.1404 -3.22372
0 FRACTURE_3_S 13 -0.116608 -0.542348 -0.5 1.72185e+009 -5.78248e+008 2.96365e+008 1.65626e+008 27.707 -8.47313
0 FRACTURE_3_S 14 -0.0434532 -0.724971 -0.5 2.02969e+009 -4.31166e+008 4.58485e+008 2.28098e+008 19.1501 -11.436
0 FRACTURE_3_S 15 -0.00834732 -0.909018 -0.5 2.42498e+009 -2.42574e+008 4.81351e+008 3.0737e+008 10.3694 -11.1522
0 FRACTURE_3_S 16 -0.00834732 -1.09098 -0.5 2.74971e+009 7.59971e+007 3.48219e+008 3.69846e+008 -3.31205 -8.16034
0 FRACTURE_3_S 17 -0.0434532 -1.27503 -0.5 2.89057e+009 2.42303e+007 1.61492e+008 3.94945e+008 -1.09837 -4.00373
0 FRACTURE_3_S 18 -0.116608 -1.45765 -0.5 2.84452e+009 -9.08591e+006 7.01411e+007 3.79899e+008 0.434391 -1.85224
0 FRACTURE_3_S 19 -0.227949 -1.62716 -0.5 2.81688e+009 8.65683e+006 2.29304e+007 3.72013e+008 -0.42483 -0.625768
0 FRACTURE_3_S 20 -0.372842 -1.77205 -0.5 2.80938e+009 1.0024e+007 2.48079e+007 3.70047e+008 -0.492542 -0.677824
0 FRACTURE_3_S 21 -0.542348 -1.88339 -0.5 2.74875e+009 5.58934e+006 1.20755e+006 3.54172e+008 -0.283687 -0.0341753
0 FRACTURE_3_S 22 -0.724971 -1.95655 -0.5 2.72617e+009 2.1995e+007 1.5306e+007 3.48428e+008 -1.10985 -0.431006
0 FRACTURE_3_S 23 -0.909018 -1.99165 -0.5 2.69623e+009 -1.69927e+007 -251660 3.40778e+008 0.873982 0.00723381
0 FRACTURE_3_S 24 -1.09098 -1.99165 -0.5 2.69267e+009 -1.918e+007 -3.9416e+006 3.39884e+008 0.985243 0.113137
0 FRACTURE_3_S 25 -1.27503 -1.95655 -0.5 2.69244e+009 2.42287e+007 -7.07065e+006 3.39842e+008 -1.23981 0.202261
0 FRACTURE_3_S 26 -1.45765 -1.88339 -0.5 2.68105e+009 321794 -662943 3.36939e+008 -0.0167964 0.0192779
0 FRACTURE_3_S 27 -1.62716 -1.77205 -0.5 2.71707e+009 4.06371e+006 1.75888e+006 3.46055e+008 -0.208783 -0.0503711
0 FRACTURE_3_S 28 -1.77205 -1.62716 -0.5 2.71352e+009 6.73683e+006 -4.45189e+006 3.45155e+008 -0.345721 0.127356
