
Step FractureName TipNr TipX TipY TipZ KI KII KIII G Phi Psi
600 FRACTURE15_S 6 -135.165 -145.204 146.851 -9134.97 9501.53 6247.64 0.00299245 -58.9842 -25.7492
600 FRACTURE15_S 7 -133.612 -147.582 143.763 -8222.46 4591.49 9670.07 0.00418529 -37.8172 -37.7161
600 FRACTURE15_S 8 -133.111 -148.348 139.668 -7479.48 -2051.31 10724.3 0.00481558 20.6743 -42.2225
600 FRACTURE15_S 9 -133.797 -147.298 135.665 -6905.58 -8579.79 8592.18 0.00417504 52.4747 -30.7662
600 FRACTURE15_S 10 -135.487 -144.712 132.825 -7065.57 -12433.9 3861.88 0.00297927 66.0686 -16.6316
600 FRACTURE15_S 11 -137.726 -141.285 131.91 -7315.05 -12599.8 -1685.96 0.00254404 69.025 8.74567
600 FRACTURE16_S 0 -175.437 -122.948 64.1868 -926.228 5845.33 1184.75 0.00058025 -68.0119 -12.2078
600 FRACTURE16_S 1 -172.842 -126.284 67.9876 -1103.45 4733.71 3538.66 0.000859819 -57.191 -27.3274
600 FRACTURE16_S 2 -171.762 -127.673 73.3923 -1449.3 2169.46 5127.25 0.00115796 -35.4369 -38.515
600 FRACTURE16_S 3 -172.485 -126.742 78.9527 -1757.98 -1097.82 5351.91 0.0012017 21.8016 -42.0014
600 FRACTURE16_S 4 -174.819 -123.742 83.1788 -2025.42 -4045.56 4262.39 0.00100071 51.5746 -31.3316
600 FRACTURE16_S 5 -178.137 -119.476 84.9383 -2060.58 -5714.97 2117.38 0.00068444 64.8842 -18.6746
600 FRACTURE16_S 6 -181.551 -115.087 83.7597 -2025.77 -5942.97 -322.276 0.000544148 69.8148 3.92491
600 FRACTURE16_S 7 -184.146 -111.751 79.9589 -1798.3 -4700.05 -2605.01 0.000618001 61.0984 23.6186
600 FRACTURE16_S 8 -185.226 -110.362 74.5542 -1327.44 -2147 -4078.08 0.000757498 39.9587 36.9358
600 FRACTURE16_S 9 -184.502 -111.293 68.9939 -903.687 976.907 -4285.26 0.00077321 -23.5781 41.6349
600 FRACTURE16_S 10 -182.169 -114.293 64.7678 -764.895 3823.06 -3205.33 0.000647847 -55.441 28.7087
600 FRACTURE16_S 11 -178.85 -118.559 63.0082 -758.555 5535.14 -1220.71 0.000529865 -67.7146 13.0163
600 FRACTURE17_S 0 -29.4719 -131.488 55.0471 -23690.7 8826.09 -9873.27 0.00521782 -50.4851 31.9841
600 FRACTURE17_S 1 -29.316 -131.871 59.6359 -22892.1 14100.8 -5376.93 0.00423358 -64.6656 19.0175
600 FRACTURE17_S 2 -28.3154 -134.328 63.4033 -22591.9 15914.3 946.105 0.00390821 -69.7796 -4.27298
600 FRACTURE17_S 3 -26.7382 -138.2 65.3398 -22567.5 12747.4 7458.32 0.00478179 -60.4625 -24.2951
600 FRACTURE17_S 4 -25.0071 -142.449 64.9265 -22979.4 6097.66 11393.7 0.00593126 -40.2983 -36.8063
600 FRACTURE17_S 5 -23.5858 -145.938 62.2741 -23307.5 -2349.7 11954.3 0.005988 21.1088 -42.1383
600 FRACTURE17_S 6 -22.8553 -147.732 58.0933 -24095.3 -9566.31 9060.38 0.0047901 53.4377 -30.1328
600 FRACTURE17_S 7 -23.0112 -147.349 53.5045 -24209.7 -13810.4 3713.34 0.00348494 66.8568 -15.0467
600 FRACTURE17_S 8 -24.0118 -144.893 49.7371 -24388.1 -14023.7 -2277.94 0.00322042 68.6332 10.2551
